stat_date,code,market,listed_date,symbol,type,de_listed_date,exchange
2025-01-02,159001.XSHE,CN,2014-10-20,易方达保证金货币A,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159002.XSHE,CN,2014-10-20,易方达保证金货币B,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159003.XSHE,CN,2014-10-20,招商保证金快线A,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159004.XSHE,CN,2014-10-20,招商保证金快线B,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159005.XSHE,CN,2015-01-13,汇添富收益快钱货币A,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159006.XSHE,CN,2015-01-13,汇添富收益快钱货币B,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159150.XSHE,CN,2023-12-11,易方达深证50ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159300.XSHE,CN,2024-06-05,富国沪深300ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159301.XSHE,CN,2024-07-22,华夏中证全指公用事业ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159302.XSHE,CN,2024-09-02,港股高股息ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159303.XSHE,CN,2024-06-27,大成恒生医疗保健ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159305.XSHE,CN,2024-09-27,广发国证新能源电池ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159306.XSHE,CN,2024-05-14,平安中证汽车零部件主题ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159307.XSHE,CN,2024-04-25,博时中证红利低波100ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159309.XSHE,CN,2024-06-18,汇添富中证油气资源ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159310.XSHE,CN,2024-04-30,天弘中证芯片产业ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159312.XSHE,CN,2024-11-08,广发恒指港股通ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159315.XSHE,CN,2024-06-14,黄金股ETF工银,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159318.XSHE,CN,2024-06-21,恒生港股通ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159320.XSHE,CN,2024-12-24,广发恒生A股电网设备ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159321.XSHE,CN,2024-05-27,华安中证沪深港黄金产业股票ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159322.XSHE,CN,2024-06-14,平安中证沪深港黄金产业ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159325.XSHE,CN,2024-11-08,南方中证半导体行业精选ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159326.XSHE,CN,2024-09-09,华夏中证电网设备主题ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159327.XSHE,CN,2024-08-05,万家中证半导体材料设备主题ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159328.XSHE,CN,2024-11-15,易方达中证家电龙头ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159329.XSHE,CN,2024-07-16,南方基金南方东英沙特阿拉伯ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159330.XSHE,CN,2024-08-19,沪深300ETF基金,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159331.XSHE,CN,2024-08-01,国泰中证港股通高股息投资ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159332.XSHE,CN,2024-08-01,富国中证中央企业红利ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159333.XSHE,CN,2024-09-03,万家中证港股通央企红利ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159335.XSHE,CN,2024-09-05,融通中证诚通央企科技创新ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159337.XSHE,CN,2024-09-20,中证500ETF基金,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159338.XSHE,CN,2024-10-15,国泰中证A500ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159339.XSHE,CN,2024-10-15,A500ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159350.XSHE,CN,2023-12-11,富国深证50ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159351.XSHE,CN,2024-10-15,嘉实中证A500ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159352.XSHE,CN,2024-10-15,南方中证A500ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159353.XSHE,CN,2024-10-15,景顺长城中证A500ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159355.XSHE,CN,2024-12-03,华宝中证800红利低波动ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159356.XSHE,CN,2024-12-06,万家中证A500ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159357.XSHE,CN,2024-11-28,博时中证A500ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159358.XSHE,CN,2024-11-29,大成中证A500ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159359.XSHE,CN,2024-12-02,华安中证A500ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159360.XSHE,CN,2024-11-28,天弘中证A500ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159361.XSHE,CN,2024-11-19,易方达中证A500ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159362.XSHE,CN,2024-12-02,A500ETF工银,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159363.XSHE,CN,2024-12-16,华宝创业板人工智能ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159501.XSHE,CN,2023-06-14,嘉实纳斯达克100ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159502.XSHE,CN,2024-01-10,嘉实标普生物科技精选行业ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159505.XSHE,CN,2023-12-04,博时国证2000ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159506.XSHE,CN,2023-07-03,富国恒生港股通创新药及医疗保健ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159507.XSHE,CN,2023-06-21,广发国证通信ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159508.XSHE,CN,2023-07-14,华安国证生物医药ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159509.XSHE,CN,2023-08-08,景顺长城纳斯达克科技ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159510.XSHE,CN,2023-08-16,华夏中证智选300价值稳健策略ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159511.XSHE,CN,2023-08-07,南方中证通信服务ETF,ETF,2999-12-31 00:00:00,XSHE
