stat_date,code,market,listed_date,symbol,type,de_listed_date,exchange
2019-07-01,159001.XSHE,CN,2014-10-20,易方达保证金货币A,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159002.XSHE,CN,2014-10-20,易方达保证金货币B,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159003.XSHE,CN,2014-10-20,招商保证金快线A,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159004.XSHE,CN,2014-10-20,招商保证金快线B,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159005.XSHE,CN,2015-01-13,汇添富收益快钱货币A,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159006.XSHE,CN,2015-01-13,汇添富收益快钱货币B,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159901.XSHE,CN,2006-04-24,易方达深证100ETF,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159902.XSHE,CN,2006-09-05,华夏中小企业100ETF,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159903.XSHE,CN,2010-02-02,南方深证成份ETF,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159905.XSHE,CN,2011-01-11,红利ETF工银,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159906.XSHE,CN,2011-02-23,大成深证成长40ETF,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159907.XSHE,CN,2011-08-10,广发国证2000ETF,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159908.XSHE,CN,2018-12-10,博时创业板ETF,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159909.XSHE,CN,2011-09-01,深证TMT50ETF,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159910.XSHE,CN,2011-09-27,嘉实深证基本面120ETF,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159911.XSHE,CN,2011-10-14,民营ETF,ETF,2020-06-19 00:00:00,XSHE
2019-07-01,159912.XSHE,CN,2011-11-24,汇添富深证300ETF,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159913.XSHE,CN,2011-10-25,交银深证300价值ETF,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159915.XSHE,CN,2011-12-09,易方达创业板ETF,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159916.XSHE,CN,2011-10-24,建信深证基本面60ETF,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159918.XSHE,CN,2012-05-11,嘉实中创400ETF,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159919.XSHE,CN,2012-05-28,嘉实沪深300ETF,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159920.XSHE,CN,2012-10-22,华夏恒生ETF,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159922.XSHE,CN,2013-03-15,嘉实中证500ETF,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159923.XSHE,CN,2013-03-05,大成中证A100ETF,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159925.XSHE,CN,2013-04-11,南方沪深300ETF,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159926.XSHE,CN,2013-08-05,嘉实中证中期国债ETF,ETF,2022-06-22 00:00:00,XSHE
2019-07-01,159928.XSHE,CN,2013-09-16,汇添富中证主要消费ETF,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159929.XSHE,CN,2013-09-16,汇添富中证医药卫生ETF,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159930.XSHE,CN,2013-09-16,汇添富中证能源ETF,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159931.XSHE,CN,2013-09-16,汇添富中证金融地产ETF,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159932.XSHE,CN,2013-10-21,大成中证500深市ETF,ETF,2022-11-22 00:00:00,XSHE
2019-07-01,159933.XSHE,CN,2013-10-16,国投瑞银金融地产ETF,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159934.XSHE,CN,2013-12-16,易方达黄金ETF,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159935.XSHE,CN,2014-01-21,景顺长城中证500ETF,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159936.XSHE,CN,2014-06-25,广发中证全指可选消费ETF,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159937.XSHE,CN,2014-09-01,博时黄金ETF,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159938.XSHE,CN,2015-01-08,广发中证全指医药卫生ETF,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159939.XSHE,CN,2015-02-05,广发中证全指信息技术ETF,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159940.XSHE,CN,2015-04-17,广发中证全指金融地产ETF,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159941.XSHE,CN,2015-07-13,广发纳指100ETF,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159943.XSHE,CN,2015-07-08,深证ETF,ETF,2999-12-31 00:00:00,XSHE
2019-07-01,159944.XSHE,CN,2015-07-06,广发中证全指原材料ETF,ETF,2999-12-31 00:00:00,XSHE
