stat_date,code,market,listed_date,symbol,type,de_listed_date,exchange
2026-01-05,159001.XSHE,CN,2014-10-20,易方达保证金货币A,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159002.XSHE,CN,2014-10-20,易方达保证金货币B,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159003.XSHE,CN,2014-10-20,招商保证金快线A,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159004.XSHE,CN,2014-10-20,招商保证金快线B,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159005.XSHE,CN,2015-01-13,汇添富收益快钱货币A,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159006.XSHE,CN,2015-01-13,汇添富收益快钱货币B,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159100.XSHE,CN,2025-11-13,华夏布拉德斯科巴西伊博维斯帕ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159101.XSHE,CN,2025-09-03,华夏国证港股通科技ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159102.XSHE,CN,2025-09-16,华安恒生生物科技ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159103.XSHE,CN,2025-09-10,汇添富中证金融科技主题ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159105.XSHE,CN,2025-11-03,易方达恒生生物科技ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159106.XSHE,CN,2025-10-22,前海开源中证民企300ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159107.XSHE,CN,2025-09-22,富国创业板软件ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159108.XSHE,CN,2025-11-24,博时国证工业软件主题ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159109.XSHE,CN,2025-10-10,景顺长城恒生港股通50ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159110.XSHE,CN,2025-09-24,万家深证AAA科技创新公司债ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159111.XSHE,CN,2025-09-24,天弘中证AAA科技创新公司债ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159112.XSHE,CN,2025-09-24,科创债ETF银华,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159113.XSHE,CN,2025-09-24,大成中证AAA科技创新公司债ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159115.XSHE,CN,2025-09-24,华安中证AAA科技创新公司债ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159116.XSHE,CN,2025-09-24,科创债ETF工银,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159117.XSHE,CN,2025-10-17,鹏华港股通低波红利ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159118.XSHE,CN,2025-11-27,华夏标普港股通低波红利ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159119.XSHE,CN,2025-11-13,招商中证800自由现金流ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159120.XSHE,CN,2025-11-13,国联安港股通科技ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159121.XSHE,CN,2025-11-24,易方达恒生港股通汽车主题ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159122.XSHE,CN,2025-11-03,富国创业板新能源ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159123.XSHE,CN,2025-11-27,嘉实中证光伏产业ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159125.XSHE,CN,2025-11-06,招商国证港股通科技ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159126.XSHE,CN,2025-11-03,南方中证港股通50ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159127.XSHE,CN,2025-11-20,南方中证港股通高股息投资ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159128.XSHE,CN,2025-11-13,天弘国证港股通科技ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159129.XSHE,CN,2025-11-14,嘉实中证细分化工产业主题ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159130.XSHE,CN,2025-11-27,鹏华恒生生物科技ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159131.XSHE,CN,2025-11-13,华宝中证港股通信息技术综合ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159133.XSHE,CN,2025-11-25,天弘中证细分化工产业主题ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159136.XSHE,CN,2025-12-25,广发中证A50ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159139.XSHE,CN,2025-12-19,科创创业人工智能ETF华泰柏瑞,ETF,2999-12-31 00:00:00,XSHE
