日期,编号,持有股票,持有股票代码
2019-04-22,1,再升科技|涪陵榨菜|新希望,603601.XSHG|002507.XSHE|000876.XSHE
2019-04-24,2,再升科技|涪陵榨菜|新希望,603601.XSHG|002507.XSHE|000876.XSHE
2019-04-25,3,再升科技|涪陵榨菜|新希望,603601.XSHG|002507.XSHE|000876.XSHE
2019-04-25,4,再升科技|涪陵榨菜|新希望,603601.XSHG|002507.XSHE|000876.XSHE
2019-05-06,5,再升科技|涪陵榨菜|新希望,603601.XSHG|002507.XSHE|000876.XSHE
2019-05-08,6,再升科技|涪陵榨菜|新希望,603601.XSHG|002507.XSHE|000876.XSHE
2019-05-09,7,再升科技|涪陵榨菜|新希望,603601.XSHG|002507.XSHE|000876.XSHE
2019-05-14,8,再升科技|涪陵榨菜|新希望,603601.XSHG|002507.XSHE|000876.XSHE
2019-05-17,9,再升科技|涪陵榨菜|新希望,603601.XSHG|002507.XSHE|000876.XSHE
2019-05-22,10,再升科技|涪陵榨菜|新希望,603601.XSHG|002507.XSHE|000876.XSHE
2019-05-27,11,再升科技|涪陵榨菜|新希望,603601.XSHG|002507.XSHE|000876.XSHE
2019-06-01,12,再升科技|涪陵榨菜|新希望,603601.XSHG|002507.XSHE|000876.XSHE
2019-06-09,13,再升科技|涪陵榨菜,603601.XSHG|002507.XSHE
2019-06-11,14,再升科技|涪陵榨菜|涪陵电力,603601.XSHG|002507.XSHE|600452.XSHG
2019-06-13,15,再升科技|涪陵电力,603601.XSHG|600452.XSHG
2019-06-18,16,再升科技|涪陵电力,603601.XSHG|600452.XSHG
2019-06-21,17,再升科技|涪陵电力,603601.XSHG|600452.XSHG
2019-06-23,18,再升科技|涪陵电力,603601.XSHG|600452.XSHG
2019-06-25,19,再升科技|涪陵电力,603601.XSHG|600452.XSHG
2019-06-30,20,再升科技|涪陵电力|涪陵榨菜,603601.XSHG|600452.XSHG|002507.XSHE
2019-07-02,21,再升科技|涪陵电力|常山药业,603601.XSHG|600452.XSHG|300255.XSHE
2019-07-04,22,再升科技|涪陵电力|常山药业,603601.XSHG|600452.XSHG|300255.XSHE
2019-07-06,23,再升科技|涪陵电力|常山药业,603601.XSHG|600452.XSHG|300255.XSHE
2019-07-10,24,再升科技|涪陵电力|常山药业,603601.XSHG|600452.XSHG|300255.XSHE
2019-07-14,25,再升科技|涪陵电力|常山药业,603601.XSHG|600452.XSHG|300255.XSHE
2019-07-25,27,再升科技|涪陵电力|常山药业,603601.XSHG|600452.XSHG|300255.XSHE
2019-07-28,26,再升科技|涪陵电力|常山药业,603601.XSHG|600452.XSHG|300255.XSHE
2019-08-01,29,再升科技|涪陵电力|常山药业,603601.XSHG|600452.XSHG|300255.XSHE
2019-08-05,30,再升科技|涪陵电力|常山药业,603601.XSHG|600452.XSHG|300255.XSHE
2019-08-11,31,再升科技|涪陵电力|常山药业,603601.XSHG|600452.XSHG|300255.XSHE
2019-08-18,32,再升科技|涪陵电力|常山药业,603601.XSHG|600452.XSHG|300255.XSHE
2019-09-08,35,再升科技|涪陵电力|常山药业|太极集团,603601.XSHG|600452.XSHG|300255.XSHE|600129.XSHG
2019-09-10,33,再升科技|涪陵电力|太极集团,603601.XSHG|600452.XSHG|600129.XSHG
2019-09-16,34,再升科技|涪陵电力|太极集团,603601.XSHG|600452.XSHG|600129.XSHG
2019-10-07,37,再升科技|涪陵电力|常山药业|太极集团,603601.XSHG|600452.XSHG|300255.XSHE|600129.XSHG
2019-10-15,38,再升科技|涪陵电力|太极集团,603601.XSHG|600452.XSHG|600129.XSHG
2019-10-18,39,再升科技|涪陵电力|太极集团,603601.XSHG|600452.XSHG|600129.XSHG
2019-10-27,40,再升科技|涪陵电力|太极集团,603601.XSHG|600452.XSHG|600129.XSHG
2019-11-03,41,再升科技|涪陵电力|太极集团,603601.XSHG|600452.XSHG|600129.XSHG
2019-11-10,42,再升科技|涪陵电力|太极集团,603601.XSHG|600452.XSHG|600129.XSHG
2019-11-24,43,再升科技|涪陵电力|太极集团,603601.XSHG|600452.XSHG|600129.XSHG
2019-12-01,44,再升科技|涪陵电力|太极集团,603601.XSHG|600452.XSHG|600129.XSHG
2019-12-08,45,再升科技|涪陵电力|太极集团,603601.XSHG|600452.XSHG|600129.XSHG
2019-12-10,46,再升科技|涪陵电力|太极集团,603601.XSHG|600452.XSHG|600129.XSHG
2019-12-16,47,再升科技|涪陵电力|太极集团,603601.XSHG|600452.XSHG|600129.XSHG
2019-12-23,48,再升科技|涪陵电力|太极集团,603601.XSHG|600452.XSHG|600129.XSHG
