日期,编号,持有股票,持有股票代码
2022-01-07,146,再升科技|秦安股份|太极集团|涪陵电力|常宝股份,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG|002478.XSHE
2022-01-14,147,再升科技|秦安股份|太极集团|涪陵电力|常宝股份,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG|002478.XSHE
2022-01-21,148,再升科技|秦安股份|太极集团|涪陵电力|常宝股份,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG|002478.XSHE
2022-01-31,149,再升科技|秦安股份|太极集团|涪陵电力|常宝股份,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG|002478.XSHE
2022-02-11,150,再升科技|秦安股份|太极集团|涪陵电力|常宝股份,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG|002478.XSHE
2022-02-18,151,再升科技|秦安股份|太极集团|涪陵电力|常宝股份,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG|002478.XSHE
2022-02-25,152,再升科技|秦安股份|太极集团|涪陵电力|常宝股份,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG|002478.XSHE
2022-03-05,153,再升科技|秦安股份|太极集团|涪陵电力|常宝股份,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG|002478.XSHE
2022-03-11,154,再升科技|秦安股份|太极集团|涪陵电力|常宝股份,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG|002478.XSHE
2022-03-18,155,再升科技|川环科技|太极集团|涪陵电力|常宝股份,603601.XSHG|300547.XSHE|600129.XSHG|600452.XSHG|002478.XSHE
2022-03-25,156,再升科技|川环科技|太极集团|涪陵电力|常宝股份,603601.XSHG|300547.XSHE|600129.XSHG|600452.XSHG|002478.XSHE
2022-04-01,157,再升科技|川环科技|太极集团|涪陵电力|常宝股份,603601.XSHG|300547.XSHE|600129.XSHG|600452.XSHG|002478.XSHE
2022-04-08,158,再升科技|川环科技|太极集团|涪陵电力|常宝股份,603601.XSHG|300547.XSHE|600129.XSHG|600452.XSHG|002478.XSHE
2022-04-15,159,再升科技|川环科技|太极集团|涪陵电力|常宝股份,603601.XSHG|300547.XSHE|600129.XSHG|600452.XSHG|002478.XSHE
2022-04-22,160,再升科技|川环科技|太极集团|涪陵电力|硅宝科技,603601.XSHG|300547.XSHE|600129.XSHG|600452.XSHG|300019.XSHE
2022-05-04,161,再升科技|川环科技|太极集团|涪陵电力|硅宝科技,603601.XSHG|300547.XSHE|600129.XSHG|600452.XSHG|300019.XSHE
2022-05-07,162,再升科技|川环科技|太极集团|涪陵电力|硅宝科技,603601.XSHG|300547.XSHE|600129.XSHG|600452.XSHG|300019.XSHE
2022-05-13,163,再升科技|川环科技|太极集团|涪陵电力|硅宝科技,603601.XSHG|300547.XSHE|600129.XSHG|600452.XSHG|300019.XSHE
2022-05-22,164,再升科技|川环科技|太极集团|涪陵电力|硅宝科技,603601.XSHG|300547.XSHE|600129.XSHG|600452.XSHG|300019.XSHE
2022-05-27,165,再升科技|川环科技|太极集团|涪陵电力|硅宝科技,603601.XSHG|300547.XSHE|600129.XSHG|600452.XSHG|300019.XSHE
2022-06-02,166,再升科技|川环科技|太极集团|涪陵电力|硅宝科技,603601.XSHG|300547.XSHE|600129.XSHG|600452.XSHG|300019.XSHE
2022-06-10,167,再升科技|川环科技|太极集团|涪陵电力|硅宝科技,603601.XSHG|300547.XSHE|600129.XSHG|600452.XSHG|300019.XSHE
2022-06-18,168,再升科技|川环科技|太极集团|涪陵电力|硅宝科技,603601.XSHG|300547.XSHE|600129.XSHG|600452.XSHG|300019.XSHE
2022-06-24,169,再升科技|川环科技|太极集团|涪陵电力|硅宝科技,603601.XSHG|300547.XSHE|600129.XSHG|600452.XSHG|300019.XSHE
2022-07-03,170,再升科技|川环科技|太极集团|涪陵电力|硅宝科技,603601.XSHG|300547.XSHE|600129.XSHG|600452.XSHG|300019.XSHE
