日期,编号,持有股票,持有股票代码
2023-07-08,221,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
2023-07-15,222,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
2023-07-23,223,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
2023-07-30,224,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
2023-08-06,225,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
2023-08-12,226,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
2023-08-20,227,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
2023-08-27,228,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
2023-09-03,229,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
2023-09-09,230,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
2023-09-16,231,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
2023-09-23,232,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
2023-10-01,233,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
2023-10-14,234,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
2023-10-22,235,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
2023-10-28,236,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
2023-11-03,237,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
2023-11-11,238,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
2023-11-19,239,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
2023-11-25,240,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
2023-12-02,241,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
2023-12-09,242,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
2023-12-16,243,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
2023-12-23,244,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
2023-12-30,245,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE
