日期,编号,持有股票,持有股票代码
2025-07-05,319,华康股份|索通发展|凌玮科技|博隆技术|云图控股,605077.XSHG|603612.XSHG|301373.XSHE|603325.XSHG|002539.XSHE
2025-07-12,320,华康股份|索通发展|凌玮科技|博隆技术|云图控股,605077.XSHG|603612.XSHG|301373.XSHE|603325.XSHG|002539.XSHE
2025-07-19,321,华康股份|索通发展|凌玮科技|博隆技术|云图控股,605077.XSHG|603612.XSHG|301373.XSHE|603325.XSHG|002539.XSHE
2025-07-26,322,华康股份|索通发展|凌玮科技|博隆技术|云图控股,605077.XSHG|603612.XSHG|301373.XSHE|603325.XSHG|002539.XSHE
2025-08-02,323,华康股份|索通发展|凌玮科技|博隆技术|云图控股,605077.XSHG|603612.XSHG|301373.XSHE|603325.XSHG|002539.XSHE
2025-08-10,324,华康股份|索通发展|凌玮科技|博隆技术|云图控股,605077.XSHG|603612.XSHG|301373.XSHE|603325.XSHG|002539.XSHE
2025-08-17,325,华康股份|索通发展|凌玮科技|博隆技术|云图控股,605077.XSHG|603612.XSHG|301373.XSHE|603325.XSHG|002539.XSHE
2025-08-24,326,华康股份|索通发展|凌玮科技|博隆技术|云图控股,605077.XSHG|603612.XSHG|301373.XSHE|603325.XSHG|002539.XSHE
2025-08-31,327,华康股份|索通发展|凌玮科技|博隆技术|云图控股,605077.XSHG|603612.XSHG|301373.XSHE|603325.XSHG|002539.XSHE
2025-09-06,328,华康股份|索通发展|凌玮科技|博隆技术|云图控股,605077.XSHG|603612.XSHG|301373.XSHE|603325.XSHG|002539.XSHE
2025-09-14,329,华康股份|索通发展|凌玮科技|博隆技术|云图控股,605077.XSHG|603612.XSHG|301373.XSHE|603325.XSHG|002539.XSHE
2025-09-20,330,华康股份|索通发展|云图控股|中泰股份,605077.XSHG|603612.XSHG|002539.XSHE|300435.XSHE
2025-09-27,331,华康股份|索通发展|云图控股|中泰股份,605077.XSHG|603612.XSHG|002539.XSHE|300435.XSHE
2025-10-10,332,华康股份|索通发展|云图控股|中泰股份,605077.XSHG|603612.XSHG|002539.XSHE|300435.XSHE
2025-10-18,333,华康股份|索通发展|云图控股|中泰股份,605077.XSHG|603612.XSHG|002539.XSHE|300435.XSHE
2025-10-24,334,华康股份|索通发展|云图控股|中泰股份,605077.XSHG|603612.XSHG|002539.XSHE|300435.XSHE
2025-11-02,335,华康股份|索通发展|云图控股|中泰股份,605077.XSHG|603612.XSHG|002539.XSHE|300435.XSHE
2025-11-08,336,华康股份|索通发展|云图控股|中泰股份,605077.XSHG|603612.XSHG|002539.XSHE|300435.XSHE
2025-11-15,337,华康股份|索通发展|云图控股|中泰股份,605077.XSHG|603612.XSHG|002539.XSHE|300435.XSHE
2025-11-23,338,索通发展|云图控股|中泰股份,603612.XSHG|002539.XSHE|300435.XSHE
2025-11-30,339,索通发展|云图控股|中泰股份|利安隆,603612.XSHG|002539.XSHE|300435.XSHE|300596.XSHE
2025-12-06,340,索通发展|云图控股|中泰股份|利安隆,603612.XSHG|002539.XSHE|300435.XSHE|300596.XSHE
2025-12-13,341,索通发展|云图控股|中泰股份|利安隆,603612.XSHG|002539.XSHE|300435.XSHE|300596.XSHE
2025-12-21,342,索通发展|云图控股|中泰股份|利安隆,603612.XSHG|002539.XSHE|300435.XSHE|300596.XSHE
2025-12-27,343,索通发展|云图控股|中泰股份|利安隆,603612.XSHG|002539.XSHE|300435.XSHE|300596.XSHE
2025-12-31,344,索通发展|云图控股|中泰股份|利安隆,603612.XSHG|002539.XSHE|300435.XSHE|300596.XSHE
