产品名称,原始代码,带市场后缀的代码,所属市场
养殖ETF,159865,159865.sz,深交所
化工ETF,159870,159870.sz,深交所
钢铁ETF,515210,515210.sh,上交所
稀土ETF,516150,516150.sh,上交所
有色ETF,512400,512400.sh,上交所
家电ETF,159996,159996.sz,深交所
物流ETF,516910,516910.sh,上交所
房地产ETF,512200,512200.sh,上交所
旅游ETF,159766,159766.sz,深交所
银行ETF,512800,512800.sh,上交所
证券ETF,512880,512880.sh,上交所
保险主题LOF,167301,167301.sz,深交所
建材ETF,159745,159745.sz,深交所
基建ETF广发,516970,516970.sh,上交所
国防ETF,512670,512670.sh,上交所
游戏ETF,159869,159869.sz,深交所
煤炭ETF,515220,515220.sh,上交所
石油ETF,561360,561360.sh,上交所
碳中和龙头ETF,512580,512580.sh,上交所
港股创新药ETF,513120,513120.sh,上交所
医疗ETF,512170,512170.sh,上交所
中药ETF,560080,560080.sh,上交所
光伏ETF,515790,515790.sh,上交所
电力ETF,159611,159611.sz,深交所
电池ETF,561910,561910.sh,上交所
白酒基金LOF,161725,161725.sz,深交所
汽车ETF,159512,159512.sz,深交所
汽车零部件ETF,159565,159565.sz,深交所
工程机械ETF,560280,560280.sh,上交所
工业母机ETF,159667,159667.sz,深交所
软件ETF,159852,159852.sz,深交所
通信ETF,515880,515880.sh,上交所
芯片ETF,512760,512760.sh,上交所
