日期,标题,类型,编号,持有股票,持有股票代码,确定性,跟踪股票,操作备注
2020-01-02,2019年投资小结暨投资周记（49）,投资周记,49,再升科技|涪陵电力|太极集团|秦安股份,603601.XSHG|600452.XSHG|600129.XSHG|603758.XSHG,明确,,旧示范账户终结(净资产106万+6%)；年末持仓：再升8万股+电力1万股+太极4.58万股+秦安2.79万股；新30万示范账户即将启动
2020-01-14,投资周记（50）我所理解的价值投资,投资周记,50,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG,明确,太极集团|涪陵电力,新30万示范账户1月7日启动(无融资不打新)；主要持有再升+秦安+榨菜；太极和电力在其他账户重仓
2020-01-20,投资周记（51）和姐夫深聊成功哲学,投资周记,51,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG,明确,,五只持仓未变；预计上半年不动；太极2019年报预告亏损6000万(财务洗澡)；再升蹭上猪瘟+肺炎双风口
2020-02-10,投资周记（52）难忘的春节难忘的一周,投资周记,52,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG,明确,,疫情后首周；再升5连板！卖出20%再升；秦安最低跌到5.23；涪陵榨菜成本25元；秦安成本6.4元
2020-02-16,投资周记（53）喧嚣之后回归价值,投资周记,53,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG,明确,,再升5板后回调25%；80%再升筹码未动；分析强者思维vs弱者思维；再升是用强者思维的唯一标的
2020-02-22,投资周记（54）如何才能长期赚复利,投资周记,54,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG,明确,,10元接回1000股再升；涪陵电力分析国网重组预期(国网综能更名+与25省建立资本纽带)
2020-02-29,投资周记（55）持仓个股疫情影响分析,投资周记,55,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG,明确,,再升巨大受益(熔喷布涨价+口罩)；太极受益(藿香正气液纳入治疗目录)；秦安受影响最大(停工)；示范账户+20%
2020-03-07,投资周记（56）疯狂的再升科技,投资周记,56,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG,明确,,再升第二波(成妖股)！再升今年业绩上调至4亿；18.31元卖出2000股再升；7元买入秦安3000股；示范账户年收益超40%
2020-03-15,投资周记（57）多年一遇的锻炼心态机会,投资周记,57,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG,明确,,再升定增7.7亿+可转债提前赎回；公司不希望股价再短期暴涨；再升股价翻倍已非常满足；外围暴跌抄底机会
2020-03-21,投资周记（58）降低预期,投资周记,58,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG,明确,,全球疫情恶化；市值大幅回撤(再升高位仅走20%)；示范账户仍+20%；建议抄作业成本：榨菜<27秦安<7电力<18太极<12
2020-03-28,投资周记（59）持久战反思操作,投资周记,59,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG,明确,,反思涪陵电力买点(15元vs最佳12元)；先逻辑后图形的买股指导思想；五股持仓未变
2020-04-05,投资周记（60）当前形势判断及个股反思,投资周记,60,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG,明确,,涪陵电力重组预告(国网节能资产注入)；太极员工持股计划；秦安受全球产业链中断影响最大；做好防守策略
2020-04-11,投资周记（61）痛定思痛提高效率,投资周记,61,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG,明确,,被高人批评要聚焦投资；持仓未动；反思买点(涪陵电力12元最佳/太极9元最佳)；三类投资者分析
2020-04-18,投资笔记（62）有个朋友1年半13倍,投资笔记,62,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG,明确,鲁西化工,新希望1.5年13倍案例(满仓满融)；示范账户+27.37%；再升有望走成新希望级别机会
2020-04-26,投资周记（63）从新希望走势想到的,投资周记,63,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG,明确,,36元卖出1200股榨菜；13.43元买入3200股再升；参加太极+再升股东会；太极建议释放预期管理做正向循环
2020-05-05,投资周记（64）新希望股东会受刺激了,投资周记,64,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG,不明确,,去成都参加新希望股东会拜会大佬；感悟：低调/先防守后进攻/延迟满足/逆向/提前发现价值
2020-05-09,投资周记（65）新的生活开始,投资周记,65,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG,明确,,改变作息(早6点起7点工作下午3点回家)；再升=长逻辑标的(干净空气)vs短逻辑(口罩)；太极年报季报烂但股价不跌=业绩底
2020-05-15,投资周记（66）继续打磨体系,投资周记,66,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG,明确,,继续打磨投资体系(穿透力还不行)；再升未来分析(干净空气+保温材料+非介质过滤)；持仓不变
2020-05-22,投资周记（67）到上市公司工作所悟,投资周记,67,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG,明确,,参加太极+秦安股东会；太极：混改年内落地+扣非要拉正+成都土地3Q前处置；秦安：半年争取扭亏+全年8000万目标不变
2020-05-29,投资周记（68）做减法又做加法,投资周记,68,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG,明确,,概率>赔率>频率三率顺序；公司分四层跟踪体系；五股逻辑都在继续持有
2020-06-06,投资周记（69）持仓全红,投资周记,69,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG,明确,,五股全部浮盈！秦安分红1400元买200股@6.36；总结四种选股模型：困境反转/优质错杀/成长股/未来优势
2020-06-13,投资周记（70）投资中的负复利问题,投资周记,70,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG,明确,,复利最大杀手是负复利(踩大坑)；再升主动释放利好(入选沪股通+卡梅隆口罩+中标中芯国际等)；示范账户+32.17%
2020-06-21,投资周记（71）迎接指数慢牛,投资周记,71,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG,明确,,上证指数改编慢牛开启；秦安回函分析(下游多元化+Q4业绩逆转+对8000万目标有信心)；示范账户+34.70%
2020-06-21,投资周记（72）常识赔率概率,投资周记,72,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG,明确,,太极暴涨22%！太极分析框架：常识/赔率/概率六字诀；秦安新能源概念想象空间；示范账户市值新高
2020-07-12,投资周记（73）我的底部选股模型,投资周记,73,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG,明确,,示范+57.73%；总结底部选股模型(底部横盘+结构简单+基本面好转)；涪陵电力高管大批换血(定增迫在眉睫)
2020-07-20,投资周记（74）牛市亏钱就是这样来的,投资周记,74,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG,明确,,9元买入100股鲁西化工；示范+~50%；牛市暴跌反思人性；强者视角(本地)+弱者体系(外地)两轮驱动
2020-07-26,投资周记（75）市场又进入我喜欢节奏,投资周记,75,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG,明确,,可逆下跌不回避；中报大幕拉开新一轮选股开始；持仓不动；震荡市=高手市
2020-08-02,投资周记（76）可以嘚瑟一下了,投资周记,76,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG,不明确,,示范突破50万！+70%；个人心路历程长文(从银行到自由投资人)；持仓未动
2020-08-10,投资周记（77）涨得最少赚得最多,投资周记,77,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG,明确,,示范+76.13%；太极涨最少赚最多(敢重仓+拿得住)；秦安涨停；6年100倍案例(满融独仓)
2020-08-16,投资周记（78）涪陵电力有长逻辑,投资周记,78,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG,明确,,涪陵电力定增方案:13.2亿并购9省节能业务!国网唯一上市平台确认!26省节能业务全归涪陵电力
2020-08-24,投资周记（79）让榨菜和秦安期货飞一下,投资周记,79,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG,明确,,示范+87.73%；榨菜+秦安到目标价但继续持有(榨菜长逻辑演绎中；秦安期货大赚吸引眼球+主业反转待发现)
2020-08-31,投资周记（80）压力大啦,投资周记,80,再升科技|秦安股份|涪陵榨菜|太极集团|涪陵电力,603601.XSHG|603758.XSHG|002507.XSHE|600129.XSHG|600452.XSHG,明确,,示范+90.83%(57.25万)；带机构去再升调研一切均好；鲁西第一波到位需评估；持仓未动
2020-09-06,投资周记（81）客观看鲁西,投资周记,81,再升科技|秦安股份|太极集团|涪陵电力,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG,明确,鲁西化工,卖出涪陵榨菜(全部)！榨菜3年5倍获利丰厚但短期赔率不高；鲁西深度分析(央企+周期底部+中化支持+产品涨价)；示范短暂突破100%后回落
2020-09-12,投资周记（82）再看秦安股份,投资周记,82,再升科技|秦安股份|太极集团|涪陵电力,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG,明确,,秦安中报分析:客户多元化(一汽红旗放量)+新能源电机壳体+日系合资车企(疑似丰田)合作意向；卖出榨菜后10多万闲置
2020-09-20,投资周记（83）别预期太高,投资周记,83,再升科技|秦安股份|太极集团|涪陵电力,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG,明确,鲁西化工,示范目标200-300万；放低预期做好防守；挂单太极和鲁西但没买到安全价
2020-09-27,投资周记（84）秦安秦安,投资周记,84,再升科技|秦安股份|太极集团|涪陵电力,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG,明确,,秦安期货暴雷(平仓大幅亏损)!股价连续跌停；分析:主业反转确定+2亿期货利润保底+公司回购托底；示范回撤至70%+
2020-10-18,投资周记（85）鲁西化工的逻辑,投资周记,85,再升科技|秦安股份|太极集团|涪陵电力|鲁西化工,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG|000830.XSHE,明确,,鲁西化工正式建仓(8元多买入)！逻辑:央企中化+周期底部+产能充足+产品涨价+120亿支持；示范回血至80%+
2020-10-25,投资周记（86）关于数据跟踪的思考,投资周记,86,再升科技|秦安股份|太极集团|涪陵电力|鲁西化工,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG|000830.XSHE,明确,,鲁西产品价格8月底开始温和上涨+10月较大幅度上涨触发买入；强调数据跟踪先知先觉重要性；鲁西三季报出炉
2020-11-01,投资周记（87）成都各种门派投资人,投资周记,87,再升科技|秦安股份|太极集团|涪陵电力|鲁西化工,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG|000830.XSHE,明确,,再升老郭减持带崩股价；太极回调；涪陵电力三季报好转但弹性不大；成都投资人聚会(多种打法均可赚钱)；示范净值高位震荡
2020-11-08,投资周记（88）再升股东会及反思今年操作,投资周记,88,再升科技|秦安股份|太极集团|涪陵电力|鲁西化工,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG|000830.XSHE,明确,,再升股东会:冷链保温箱+中央空调净化棉为明年重点;学习爱尔眼科并购模式;持仓没动
2020-11-16,投资周记（89）回答几个读者问题,投资周记,89,再升科技|秦安股份|太极集团|涪陵电力|鲁西化工,603601.XSHG|603758.XSHG|600129.XSHG|600452.XSHG|000830.XSHE,明确,,示范+80%;详细解释为何选鲁西(概率赔率共振)而非电力/秦安/再升;鲁西产品涨价+中化支持确定性强
