日期,标题,类型,编号,持有股票,持有股票代码,确定性,跟踪股票,操作备注
2023-07-08,投资周记（221）太极集团大跌,投资周记,221,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE,明确,,太极大幅回调(从68跌至50+);涪陵电力已清仓;YTD回撤至38%
2023-07-15,投资周记（222）还是要找一眼被吸引住的标的,投资周记,222,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE,明确,,寻找一眼望过去就被吸引的标的;国林/硅宝随波逐流;YTD +38.11%
2023-07-23,投资周记（223）估计要过一段蛰伏期,投资周记,223,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE,明确,,持仓内部小幅腾挪;市场低迷;YTD +36.80%
2023-07-30,投资周记（224）牛市是不是要来了,投资周记,224,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE,明确,,讨论牛市可能性;小幅减仓调整;YTD +36.83%
2023-08-06,投资周记（225）牛市就是散户的坟墓,投资周记,225,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE,明确,,出国期间(马来西亚);牛市=散户坟墓(追高亏钱);YTD +39.18%
2023-08-12,投资周记（226）股市不好玩啊,投资周记,226,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE,明确,,四个股组合短期无大机会;需要好股票池储备;YTD +32.75%
2023-08-20,投资周记（227）赚钱本来就不容易,投资周记,227,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE,明确,,市场持续低迷;YTD +30.52%
2023-08-27,投资周记（228）市场风向会不会逆转,投资周记,228,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE,明确,,持仓内部小幅调整;等待市场风向;YTD回撤中
2023-09-03,投资周记（229）做好本手,投资周记,229,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE,明确,,本手→妙手体系(散户盈利须Top10%);本手=基础知识+判断力+市场先生;YTD +23.37%
2023-09-09,投资周记（230）长拿不太可能赚超额收益,投资周记,230,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE,明确,,长持难赚超额收益(少数例外);持仓小幅调整;YTD回升中
2023-09-16,投资周记（231）未来应该乐观起来,投资周记,231,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE,明确,,对市场乐观;持仓未动;YTD +29.05%
2023-09-23,投资周记（232）硅宝科技的投资再反思,投资周记,232,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE,明确,,硅宝反思(最高浮盈50%没走=跟踪不紧/频率没打出来);YTD +27.72%
2023-10-01,投资周记（233）各位节日快乐我们继续努力,投资周记,233,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE,明确,,国庆休市;持仓内部调整;YTD +33.30%
2023-10-14,投资周记（234）为什么这几年几乎所有基金都在亏钱,投资周记,234,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE,明确,,基金大面积亏损反思(产能过剩+杀估值);YTD +25.98%
2023-10-22,投资周记（235）研究中面临的一个问题,投资周记,235,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE,明确,,散户研究误区讨论;持仓内部调整;YTD +19.6%
2023-10-28,投资周记（236）三季报汹涌而来,投资周记,236,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE,明确,,三季报高峰期;持仓小幅腾挪;YTD 回升至28%+
2023-11-03,投资周记（237）让自己人生充满爽的感觉,投资周记,237,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE,明确,,投资=寻宝游戏让人上瘾;持仓未动;YTD +31.61%
2023-11-11,投资周记（238）市场情绪在回暖,投资周记,238,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE,明确,,硅宝异动(资金看上/16元震荡一年筹码充分交换);再升12.5万缩水到10万(vs其余17.5万做到90万);YTD +36.81%
2023-11-19,投资周记（239）谨防估值陷阱,投资周记,239,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE,明确,,估值陷阱警示;YTD +36.41%
2023-11-25,投资周记（240）可能还是要先考虑赔率,投资周记,240,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE,明确,,选股先看赔率;YTD +35.99%
2023-12-02,投资周记（241）对商业模式的理解很重要,投资周记,241,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE,明确,,商业模式判断=投资核心;YTD +42.63%
2023-12-09,投资周记（242）川环科技这个案例值得思考,投资周记,242,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE,明确,,川环战投案例复盘(战术股模型典范);持仓小幅调整;YTD +37.71%
2023-12-16,投资周记（243）散户不应存在暴富幻想,投资周记,243,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE,明确,,散户暴富幻想警示;产能过剩大背景;YTD +35.81%
2023-12-23,投资周记（244）时光如梭,投资周记,244,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE,明确,,年末感悟(30→100万);内部腾挪无新买入;再升仍亏;YTD +31.2%
2023-12-30,投资周记（245）年度小结,投资周记,245,再升科技|太极集团|硅宝科技|国林科技,603601.XSHG|600129.XSHG|300019.XSHE|300786.XSHE,明确,,2023年最终收益31.91%!总收益236.6%(30→101万);年化35.2%;全年未换股仅内部腾挪;完成十倍股底层逻辑系统梳理(功力60→80-90分)
