日期,标题,类型,编号,持有股票,持有股票代码,确定性,跟踪股票,操作备注
2026-01-10,投资周记（345）开年行情如火如荼啊!,投资周记,345,索通发展|云图控股|中泰股份|利安隆,603612.XSHG|002539.XSHE|300435.XSHE|300596.XSHE,明确,中国汽研,无操作;中泰周涨18.5%(业绩预告4.2-4.8亿/+638%~715%/海外订单进入发货周期);讨论基本面与股价双右侧理论;四只均双右侧坚定持有;YTD +10.92%总517.03%
2026-01-17,投资周记（346）说说投资中的心理,投资周记,346,索通发展|云图控股|中泰股份|利安隆,603612.XSHG|002539.XSHE|300435.XSHE|300596.XSHE,推断,,无操作;中泰周一20%涨停后连跌4天(周仍涨6.57%);讨论风险厌恶心理;监管层降温;中泰PE约23倍不贵;YTD +12.36%总525.03%
2026-01-24,投资周记（347）本周涨得太猛了,投资周记,347,索通发展|云图控股|中泰股份|利安隆,603612.XSHG|002539.XSHE|300435.XSHE|300596.XSHE,推断,,无操作;四只轮番表演(利安隆+8%/中泰+23%);账户217万YTD 30.51%!中泰深冷产能紧缺(竞对交期4年+涨价20-30%);反思选股要考虑行业景气度;平常心对待;总收益626%
2026-01-30,投资周记（348）贵金属暴跌,投资周记,348,索通发展|云图控股|中泰股份|利安隆,603612.XSHG|002539.XSHE|300435.XSHE|300596.XSHE,推断,,无操作;黄金跌8%/白银跌30%+;索通业绩预告(7.3-8.5亿/+168%~212%略低于预期因Q4石油焦波动+负极亏损);中泰高管减持完毕;YTD +24.12%总590.5%
2026-02-07,投资周记（349）不惧短期波动,投资周记,349,索通发展|云图控股|中泰股份|利安隆,603612.XSHG|002539.XSHE|300435.XSHE|300596.XSHE,推断,,无操作;云图周一跌8%后全周收复;讨论不惧短期波动核心在商业穿透力;云图黄磷产能6万吨/券商强推黄磷涨价;YTD +25.08%总595.83%
2026-02-16,投资周记（350）祝大家马年马上发财,投资周记,350,索通发展|云图控股|中泰股份|利安隆,603612.XSHG|002539.XSHE|300435.XSHE|300596.XSHE,明确,,无操作;春节;回顾中泰买入逻辑(9月70亿市值/保守4亿利润/PE<18倍/海外景气2-3年);YTD +25.83%总599.97%
2026-03-01,投资周记（351）不能忘了风险,投资周记,351,索通发展|云图控股|中泰股份|利安隆,603612.XSHG|002539.XSHE|300435.XSHE|300596.XSHE,推断,,无操作;春节后大涨(索通+15.26%/云图+8.65%/中泰+5.52%/利安隆+6.19%);伊朗被美以攻击/中东乱局;提醒勿忘风险;YTD +36.59%总659.83%
2026-03-08,投资周记（352）不确定的未来,投资周记,352,索通发展|云图控股|中泰股份|利安隆,603612.XSHG|002539.XSHE|300435.XSHE|300596.XSHE,推断,,无操作;中东战乱升级/油价暴涨;逐一分析四只受影响程度(索通石油焦涨价利好/中泰中东交付延迟但中标煤化工/云图黄磷暴涨/利安隆巴斯夫涨价20%);YTD +32.28%总635.87%
2026-03-15,投资周记（353）继续满仓应对,投资周记,353,索通发展|云图控股|中泰股份|利安隆|科新机电,603612.XSHG|002539.XSHE|300435.XSHE|300596.XSHE|300092.XSHE,明确,,⚡减仓:云图15.66卖出8700股(成本→6.72)+中泰30.08卖出3900股(成本→16.44)+利安隆52.28卖出2100股(成本→34.15)!⚡17.97买入科新机电20200股!中东不可控减仓防风险;科新(东方电气核心供应商/燃机+固态电池+核电/市值40多亿/图形底部放量);YTD +29.24%总618.97%
2026-03-22,投资周记（354）要看到之后制造业的大机会,投资周记,354,索通发展|云图控股|中泰股份|利安隆|科新机电,603612.XSHG|002539.XSHE|300435.XSHE|300596.XSHE|300092.XSHE,明确,,⚡26.61卖出中泰4000股+42.55卖出利安隆2000股!中东战事不可控继续减仓;看好中国制造业大机会(能源安全+战后重建);科新是潜在受益者;市场恐慌杀跌YTD降至+12.18%总524.03%
2026-03-28,投资周记（355）科新机电这份年报,投资周记,355,索通发展|云图控股|中泰股份|利安隆|科新机电,603612.XSHG|002539.XSHE|300435.XSHE|300596.XSHE|300092.XSHE,明确,,⚡25.02卖出中泰3000股+13.96卖出云图5000股!⚡15.3买入科新9800股(成本→17.10)!科新年报(营收-5.5%/利润-61%因光伏板块跌79%但煤化工+油气翻倍);持股:云图15000/科新30000/中泰13000/利安隆6000/索通15800;YTD +13.12%总529.27%
2026-04-03,投资周记（356）又要面对一段时间不赚钱的日子了,投资周记,356,索通发展|云图控股|中泰股份|利安隆|科新机电,603612.XSHG|002539.XSHE|300435.XSHE|300596.XSHE|300092.XSHE,推断,,无操作;中泰-4.83%/科新-3.88%/云图-7.84%/索通-8.25%/利安隆+1.98%;9成仓+18.7万现金;索通4月阳极提价300元/中东项目暂未施工;做好中期调整准备;YTD +8.25%总502.2%
2026-04-11,投资周记（357）折腾了个寂寞,投资周记,357,索通发展|云图控股|中泰股份|利安隆|科新机电,603612.XSHG|002539.XSHE|300435.XSHE|300596.XSHE|300092.XSHE,推断,,⚡中东缓和加回仓位!27.15买入中泰2400股(15400股成本13.80)+45.74买入利安隆1300股(7300股成本33.92)+14.76买入云图4200股(19200股成本6.59)!科新浮亏3%;折腾一圈不如不动;科新利空出尽+弱手思维分析;YTD +16.25%总546.7%
2026-04-18,投资周记（358）云图控股年报,投资周记,358,索通发展|云图控股|中泰股份|利安隆|科新机电,603612.XSHG|002539.XSHE|300435.XSHE|300596.XSHE|300092.XSHE,明确,,无操作;出院+旅行;云图年报(营收+5%/净利+2.81%低于预期);黄磷毛利率10%→30%(矿自给);矿最早2026Q4投产;成本6.59元持仓不动;YTD +17.5%总553.67%
2026-04-25,投资周记（359）几家公司的年报和一季报,投资周记,359,索通发展|云图控股|中泰股份|利安隆|科新机电,603612.XSHG|002539.XSHE|300435.XSHE|300596.XSHE|300092.XSHE,明确,溯联股份,无操作;索通一季报(营收+26%/净利-15.6%跌停后回升);中泰一季报(营收-21%/净利-57.5%连续下跌);科新一季报(营收-14%/净利-47%先跌后涨收复);反思短期业绩难预测/立足长远;YTD +10.47%总514.57%
2026-05-04,投资周记（360）伟大的渺小,投资周记,360,索通发展|云图控股|中泰股份|利安隆|科新机电,603612.XSHG|002539.XSHE|300435.XSHE|300596.XSHE|300092.XSHE,推断,,无操作;五一独处反思;仓位从顶部回撤;示范账户从200万到1000万需体系升级;研究大市值公司转型中;YTD +12.07%总523.47%
2026-05-08,投资周记（361）切换了一只股,投资周记,361,索通发展|云图控股|利安隆|科新机电|视源股份,603612.XSHG|002539.XSHE|300596.XSHE|300092.XSHE|002841.XSHE,明确,,⚡22.95元卖出中泰股份15400股(赚14万)!⚡37.34元买入视源股份9400股!首次买260亿大市值;视源(液晶主控板卡全球33%+希沃教育平板+MAXHUB会议平板/净现金90亿/家电控制器+46%/双右侧);最终持仓5只:索通15800+云图19200+利安隆7300+科新30000+视源9400;YTD +12.12%总523.73%
